index_label,频道id,频道名称,视频id,videoURL,shareURL,时长,发布时间,播放量,点赞数,标题,主题,星座,职业,年龄,关注人数,性别,是否为大V,地址,昵称,视频数量,用户ID
0,67,我的日常不无聊,-3830169989356901160,http://video.cdnvue.com/uploads/-4143345051154610408/video/b1p67rN,https://v.vuevideo.net/share/post/-3830169989356901160,10900,2020-02-27 13:28:16.068,0,0,彤彤的一天,,TAURUS,教师,90后,0,FEMALE,False,云南-大理,彼岸之花,4,443407589732
1,67,我的日常不无聊,-8240316774694836960,http://video.cdnvue.com/uploads/-4763870802992384277/video/b1pzIAJ,https://v.vuevideo.net/share/post/-8240316774694836960,23588,2020-02-27 12:57:08.910,0,0,宅家周记,,无,无,90后,0,FEMALE,False,百慕大,cx,9,761418421
2,67,我的日常不无聊,-2869125762877940667,http://video.cdnvue.com/uploads/-8688752911972929032/video/b1pnQOV,https://v.vuevideo.net/share/post/-2869125762877940667,30060,2020-02-27 12:09:51.459,2,0,战“疫”友邦人,,无,无,90后,0,FEMALE,False,中国-上海-徐汇,悦子柒,25,1992813933
3,67,我的日常不无聊,-322840714040600747,http://video.cdnvue.com/uploads/1601675613672927019/video/b1owZuq,https://v.vuevideo.net/share/post/-322840714040600747,15000,2020-02-27 08:39:58.010,36,1,我的可爱模样,画一画，涂一涂，让你看见我的小模样。,无,无,80后,0,FEMALE,False,中国-浙江-杭州,鑫钰錡鋺,6,48218365
4,67,我的日常不无聊,1264678774169413597,http://video.cdnvue.com/uploads/-5961033494858244187/video/b1ouhZS,https://v.vuevideo.net/share/post/1264678774169413597,60611,2020-02-27 08:32:46.186,0,0,高三党的宅家日常,,无,无,90后,0,FEMALE,False,中国-北京-东城,...,2,574409433
5,67,我的日常不无聊,-6867130099909280269,http://video.cdnvue.com/uploads/-4306360392814688956/video/b1mfXA4,https://v.vuevideo.net/share/post/-6867130099909280269,28000,2020-02-26 23:22:32.330,1,0,一·俩·仨．时光,做该做的事，认真的活着。,,,70后,0,FEMALE,False,四川 凉山,孔孔的映像笔记,9,13026478
6,67,我的日常不无聊,-448961157029519021,http://video.cdnvue.com/uploads/-2083231667067609347/video/b1mbEbK,https://v.vuevideo.net/share/post/-448961157029519021,71927,2020-02-26 23:06:30.645,75,1,灵魂歌手—秋裤大叔,,PISCES,学生,90后,0,FEMALE,False,中国-四川-成都,Nome,3,87148144
7,67,我的日常不无聊,8807205064933288690,http://video.cdnvue.com/uploads/7313982355796956612/video/b1mOo6u,https://v.vuevideo.net/share/post/8807205064933288690,21600,2020-02-26 22:13:20.023,0,0,夜·上海,,无,无,80后,0,FEMALE,False,上海 长宁,Sophie,13,164278860
8,67,我的日常不无聊,4560716534925403692,http://video.cdnvue.com/uploads/4870740256147567895/video/b1l349b,https://v.vuevideo.net/share/post/4560716534925403692,48300,2020-02-26 20:51:08.712,40,1,（伪） 无所事事的一天,感谢我妈友情出镜,ARIES,学生,00后,6,FEMALE,False,郴州市,1376chen,3,673136713582
9,67,我的日常不无聊,-6051427992079624622,http://video.cdnvue.com/uploads/1770181034687843622/video/b1l3ncy,https://v.vuevideo.net/share/post/-6051427992079624622,27100,2020-02-26 20:49:54.671,52,2,CC的一天,,无,无,80后,0,FEMALE,False,广东 佛山,Edith,10,89800240
